Kód kraja,Kraj,Kód obvodu,Obvod,Kód okresu,Okres,Kód obce,Obec,Počet volebných okrskov,Počet voličov zapísaných v zoznamoch voličov,"Počet voličov, ktorí sa zúčastnili na hlasovaní",Účasť voličov vo voľbách v %,"Počet voličov, ktorí hlasovali osobne","Podiel voličov, ktorí hlasovali osobne v %","Počet voličov, ktorí zaslali návratnú obálku z cudziny",Podiel zaslaných návratných obálok z cudziny v %,Počet platných hlasov spolu,Podiel platných hlasov    v %
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,34,38397,26455,"68,89",26084,"98,59",361,"1,36",26227,"99,17"
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,20,19137,12005,"62,73",11915,"99,25",74,"0,61",11867,"98,98"
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,70,66439,45596,"68,62",45088,"98,88",357,"0,78",44869,"98,73"
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,18,17264,10352,"59,96",10243,"98,94",73,"0,70",10198,"98,85"
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,45,34867,23947,"68,68",23653,"98,77",282,"1,17",23683,"98,94"
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,18,18147,12470,"68,71",12384,"99,31",76,"0,60",12284,"98,58"
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,4,4446,3077,"69,20",3051,"99,15",24,"0,77",3051,"99,21"
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,1,1165,858,"73,64",849,"98,95",7,"0,81",843,"98,48"
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,14,14607,9620,"65,85",9547,"99,24",70,"0,72",9507,"98,85"
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,31,31225,19779,"63,34",19620,"99,19",139,"0,70",19549,"98,93"
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,30,30348,21574,"71,08",21242,"98,46",275,"1,27",21302,"99,00"
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,6,6176,4511,"73,04",4477,"99,24",34,"0,75",4478,"99,26"
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,3,3641,2696,"74,04",2669,"98,99",24,"0,89",2663,"98,88"
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,1,1132,883,"78,00",877,"99,32",5,"0,56",869,"98,52"
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,2,1802,1373,"76,19",1367,"99,56",6,"0,43",1358,"98,90"
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,102,97630,63118,"64,65",62465,"98,96",574,"0,90",62502,"99,14"
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,3,3108,2283,"73,45",2265,"99,21",18,"0,78",2255,"98,77"
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,1,602,441,"73,25",441,"100,00",0,"0,00",437,"99,09"
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,2,2453,1273,"51,89",1271,"99,84",2,"0,15",1245,"97,80"
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,1,1048,647,"61,73",647,"100,00",0,"0,00",635,"98,14"
1,Bratislavský kraj,102,Malacky,106,Malacky,507962,Jakubov,1,1313,806,"61,38",806,"100,00",0,"0,00",783,"97,14"
1,Bratislavský kraj,102,Malacky,106,Malacky,508012,Kostolište,1,1108,736,"66,42",734,"99,72",2,"0,27",721,"97,96"
1,Bratislavský kraj,102,Malacky,106,Malacky,508021,Kuchyňa,1,1455,865,"59,45",860,"99,42",4,"0,46",857,"99,18"
1,Bratislavský kraj,102,Malacky,106,Malacky,508039,Láb,1,1339,893,"66,69",887,"99,32",6,"0,67",872,"97,64"
1,Bratislavský kraj,102,Malacky,106,Malacky,508055,Lozorno,2,2474,1413,"57,11",1404,"99,36",6,"0,42",1389,"98,51"
1,Bratislavský kraj,102,Malacky,106,Malacky,508063,Malacky,12,15416,9072,"58,84",9029,"99,52",41,"0,45",8959,"98,77"
1,Bratislavský kraj,102,Malacky,106,Malacky,504556,Malé Leváre,1,1002,498,"49,70",497,"99,79",0,"0,00",486,"97,78"
1,Bratislavský kraj,102,Malacky,106,Malacky,508080,Marianka,1,1397,1109,"79,38",1099,"99,09",10,"0,90",1103,"99,45"
1,Bratislavský kraj,102,Malacky,106,Malacky,508161,Pernek,1,724,450,"62,15",450,"100,00",0,"0,00",440,"97,77"
1,Bratislavský kraj,102,Malacky,106,Malacky,504629,Plavecké Podhradie,1,564,357,"63,29",357,"100,00",0,"0,00",354,"99,15"
