,Obec,Longitude,Latitude
0,Bratislava - Staré Mesto,17.1123274,48.1405887
1,Bratislava - Podunajské Biskupice,17.2074215,48.130042
2,Bratislava - Ružinov,17.1645049,48.1493142
3,Bratislava - Vrakuňa,17.2004942,48.145195
4,Bratislava - Nové Mesto,17.1383524,48.1671622
5,Bratislava - Rača,17.1534331,48.2117887
6,Bratislava - Vajnory,17.2065787,48.2049103
7,Bratislava - Devín,16.9826096,48.1745864
8,Bratislava - Devínska Nová Ves,16.973894,48.2091751
9,Bratislava - Dúbravka,17.0375032,48.1870886
10,Bratislava - Karlova Ves,17.0526768,48.1592404
11,Bratislava - Lamač,17.0542794,48.1911965
12,Bratislava - Záhorská Bystrica,17.0383357,48.2392876
13,Bratislava - Čunovo,17.1995727,48.029636
14,Bratislava - Jarovce,17.1129421,48.0652367
15,Bratislava - Petržalka,17.1112897,48.110972
16,Bratislava - Rusovce,17.1469174,48.052647
17,Borinka,17.135970981014438,48.26292685
18,Gajary,16.9262484,48.4686024
19,Jablonové,18.572211559007552,49.1853689
20,Jakubov,16.920942715885698,48.4151946
21,Kostolište,16.9832918,48.4450588
22,Kuchyňa,17.156497230689794,48.4062984
23,Láb,16.9747684,48.3638583
24,Lozorno,17.0444471,48.3346371
25,Malacky,17.020348,48.4347503
26,Malé Leváre,16.951771071164337,48.5029695
27,Marianka,17.06480228933931,48.2452495
28,Pernek,17.1462133,48.366784
29,Plavecké Podhradie,17.279178316321985,48.478731100000005
30,Plavecký Mikuláš,17.297664035408914,48.5107215
31,Plavecký Štvrtok,16.98105198612376,48.390519600000005
32,Rohožník,21.7625602,49.1120384
33,Sološnica,17.239290538803914,48.459333900000004
34,Studienka,17.136138761086528,48.5265874
35,Stupava,16.995502307623973,48.2789618
36,Suchohrad,16.878330928739224,48.40420365
37,Veľké Leváre,17.010521709630822,48.5040566
38,Vysoká pri Morave,16.9130472,48.329538
39,Záhorie (vojenský obvod),17.119259434976726,48.500238949999996
40,Záhorská Ves,16.866596731262998,48.3777334
41,Závod,17.044795414220395,48.546179499999994
42,Zohor,16.975552185618284,48.3149729
43,Báhoň,17.4336734892835,48.305885
44,Budmerice,17.4051025,48.360397
45,Častá,17.324833160375068,48.405217199999996
46,Doľany,20.647670680715226,49.021347
47,Dubová,21.4354492,49.3615699
48,Jablonec,17.45,48.3333333
49,Limbach,17.188161029659362,48.29921005
50,Modra,22.0425486,48.9450527
51,Pezinok,17.226332523308542,48.31825375
52,Píla,19.488728359321325,48.489987799999994
53,Slovenský Grob,17.283927124126485,48.250986499999996
54,Svätý Jur,17.2128007,48.2547823
55,Šenkvice,17.3475365,48.3000477
56,Štefanová,19.1002595,48.9749333
57,Viničné,17.301903611070145,48.26848495
58,Vinosady,17.289358835240385,48.316617449999995
59,Vištuk,17.397091,48.3343754
60,Bernolákovo,17.313159100899547,48.196802149999996
61,Blatné,17.41294529618743,48.2707872
62,Boldog,17.425226633222643,48.23533245
63,Čataj,17.47712925183213,48.26609740000001
64,Dunajská Lužná,17.2636139,48.082194
65,Hamuliakovo,17.251439090459748,48.0319435
66,Hrubá Borša,17.481371653282828,48.1773309
67,Hrubý Šúr,17.415063916952782,48.170359250000004
68,Hurbanova Ves,17.445585614679267,48.155959949999996
69,Chorvátsky Grob,17.24943336820987,48.2216617
70,Igram,17.45117141019785,48.2716164
71,Ivanka pri Dunaji,17.25390158191533,48.1892304
72,Kalinkovo,17.231199862270856,48.05739775
73,Kaplna,17.452451304682782,48.29349485
74,Kostolná pri Dunaji,17.443925310706376,48.1720202
75,Kráľová pri Senci,17.4515157,48.1966946
76,Malinovo,17.30104933831607,48.16120945
77,Miloslavov,17.30279337998052,48.09556155
78,Most pri Bratislave,17.2638856487677,48.14554475
79,Nová Dedinka,17.360204055453465,48.18458785
80,Nový Svet,17.49416754978644,48.216246049999995
81,Reca,17.462826092528992,48.22745055
82,Rovinka,17.2361107,48.097582
83,Senec,17.38557777887312,48.2345524
84,Tomášov,17.3287703218964,48.14668795
85,Tureň,17.39114110432874,48.182777349999995
86,Veľký Biel,17.347381099674273,48.2263293
87,Vlky,17.36545243373667,48.1545121
88,Zálesie,20.38922779348201,49.319161449999996
89,Báč,17.377711,48.0045275
90,Baka,17.522673984538343,47.89319075
91,Baloň,17.65621264068379,47.8420972
92,Bellova Ves,17.50861797006162,48.08735725
93,Blahová,17.55585679137571,48.09390485
94,Blatná na Ostrove,17.4363433306289,47.9983524
95,Bodíky,17.46388574488929,47.9147315
96,Boheľov,17.700249283296156,47.90742515
97,Čakany,17.37291235186192,48.11585365
98,Čenkovce,17.453891801454986,48.09288375
99,Čiližská Radvaň,17.709274886432613,47.83163075
100,Dobrohošť,17.35978429986038,47.98642355
101,Dolný Bar,17.703783135111628,47.96611005
102,Dolný Štál,17.732876985396892,47.931305449999996
103,Dunajská Streda,17.62319653130762,48.0159082
104,Dunajský Klátov,17.68933103454944,48.03128855
105,Gabčíkovo,17.578438955105007,47.87098185
106,Holice,17.47951586092983,47.9843875
107,Horná Potôň,17.496603068578846,48.0525429
108,Horné Mýto,17.750770091360856,48.014424399999996
109,Horný Bar,17.460703588359266,47.94500895
110,Hubice,17.39930330093818,48.09543575
111,Hviezdoslavov,17.35543564000756,48.069366200000005
112,Jahodná,17.726903491494173,48.04756785
113,Janíky,17.403184785526555,48.147558000000004
114,Jurová,17.521049887652637,47.93491135
115,Kľúčovec,17.707895005985264,47.784899499999995
116,Kostolné Kračany,17.57701781982759,47.98596545
117,Kráľovičove Kračany,17.55099453067743,47.976942199999996
118,Kútniky,17.66583667661306,47.9720238
119,Kvetoslavov,17.342536514467767,48.0497335
120,Kyselica,17.38140732794835,47.98125975
121,Lehnice,17.4576393,48.0515285
