"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_AJC1";"Mat_NJB1";"Mat_NJB2";"Mat_NJC1";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"1";"Bratislavskı";"Bratislava I";"Krajskı úrad, Okresnı úrad";"ZŠ pre sluchovo postihnutıch i";"Slovenskı";"Špeciálna základná škola";"ZŠ s MŠi so SP";"Drotárska cesta 48";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;"68,4211";"78,9474";;;;;;;;;;;;;;;;;;;;;;
"2";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Dubová 1";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;"58,4243";"67,2585";;;"13,935";"83,6823";"62,3105";;;;;;;;;;;;;"17,4413";;;;
"3";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s VJM";"Dunajská 13";"Bratislava - Staré Mesto";"81484";;;;;;;;;;;;"91,4062";"91,0448";"100";;;;;;;;;;;;;;;;"19,2142";;;;
"4";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Maïarskı";"Gymnázium";"Gymnázium s VJM";"Dunajská 13";"Bratislava - Staré Mesto";"81484";;"78,1726";"75";"85";;"92,3469";;;;;;;;;;;;;;;;;;;;;;;;"48,2456";;;;
"5";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ strojnícka";"Fajnorovo nábreie 5";"Bratislava - Staré Mesto";"81475";"87,75";"45";;;"87,0732";"56,9948";;"60,4545";;;;;;;;;;;;;;;;;;;;;;"68,7927";;;;
"6";"Bratislavskı";"Bratislava I";"Súkromník";"ŠZŠ pre iakov s autizmom";"Slovenskı";"Špeciálna základná škola";"Súkr. ŠZŠ so ŠMŠ";"Galandova 7";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"7";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Taneèné konzervatórium";"Slovenskı";"Konzervatórium";"Taneèné  konzervatórium";"Gorazdova 20";"Bratislava - Staré Mesto";"81104";"56,25";;;;"75";;;;;;;;;;;;;;;;;;;;;;;;;"0";;;;
"8";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Grösslingová 18";"Bratislava - Staré Mesto";"81109";"97,99";"90,3553";;;;"96,4286";;;"76,087";;"94,3925";"100";;;;;;;;;;;;;;;;;;"30,2632";;;;
"9";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Grösslingová 48";"Bratislava - Staré Mesto";"81109";;;;;;;;;;;"97,9719";"97,5142";;;"84,1877";"87,148";"65,0542";;;;;;;;;;;;;"9,87063";;;;
"10";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Hlboká cesta 4";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;"97,5819";"99,2188";;;;;;;;;;;;;;;;;;"12,0268";;;;
"13";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Jelenia 16";"Bratislava - Staré Mesto";"81105";;;;;;;;;;;"22,4649";"9,23295";;;;;;;;;;;;;;;;;;"69,9569";;;;
"14";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium Matky Alexie";"Jesenského 4/A";"Bratislava - Staré Mesto";"81102";"91,4573";"50,7614";;;;"80,102";;;"67,3913";;"97,1963";"98,2143";;;"85,6061";"60,6061";"83,3333";;;;;;;;;;;;;"54,8246";;;;
"16";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Jesenského 6";"Bratislava - Staré Mesto";"81101";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"91,4454";;;;
"17";"Bratislavskı";"Bratislava I";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špeciálna ZŠ s MŠ";"Karpatská 1";"Bratislava - Staré Mesto";"81105";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Mudroòova 83";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;"86,6615";"98,6506";;;;;;;;;;;;;;;;;;"13,0331";;;;
"19";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"ZŠ s MŠ sv. Uršule";"Nedbalova 4";"Bratislava - Staré Mesto";"81101";;;;;;;;;;;"73,4789";"88,3523";;;"100";"65,7762";"65,5596";;;;;;;;;;;;;"57,403";;;;
"20";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium Sv. Uršule";"Nedbalova 6";"Bratislava - Staré Mesto";"81101";"44,2211";"8,12183";;;;"67,8571";;;;;"71,028";"79,4643";;;;;;;;;;;;;;;;;;"60,0877";;;;
"21";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"ZŠ Matky Alexie";"Palackého 1";"Bratislava - Staré Mesto";"81102";;;;;;;;;;;"98,908";"99,3608";;;"100";"89,5307";"90,2527";;;;;;;;;;;;;"9,4873";;;;
"22";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Evanjelická ZŠ";"Palisády 57";"Bratislava - Staré Mesto";"81106";;;;;;;;;;;;;;;"86,3538";"77,4729";"54,8014";;;;;;;;;;;;;"80,9775";;;;
"23";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Panenská 11";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"93,8053";;;;
"24";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Podjavorinskej 9";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"8,25959";;;;
"25";"Bratislavskı";"Bratislava I";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Svoradova 2";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"82,0059";;;;
"26";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Škarniclova 1";"Bratislava - Staré Mesto";"81101";;;;;;;;;;;"82,3713";"75,4972";;;"81,6607";"66,7148";"76,0289";;;;;;;;;;;;;"7,23527";;;;
"27";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Konzervatórium";"Slovenskı";"Konzervatórium";"Konzervatórium";"Tolstého 11";"Bratislava - Staré Mesto";"81106";"68,75";;;;"31,25";"0";;"50";;;;;;;;;;;;;;;;;;;;;;"12,5";;;;
"28";"Bratislavskı";"Bratislava I";"Súkromník";"Základná škola";"Anglickı";"Základná škola";"S-ZŠ Cambridge (Funiversity)";"Úprkova 3";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;"98,5959";"98,1534";;;;;;;;;;;;;;;;;;"50,6948";;;;
"29";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"SOŠ elektrotechnická";"Slovenskı";"Stredná odborná škola";"SOŠ elektr. Frassatiho";"Vazovova 12";"Bratislava - Staré Mesto";"81107";"24";;;;"83,4146";"97,4093";;;;;;;;;;;;;;;;;;;;;;;;"13,4396";;;;
